dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,label,attack_cat
0.098567,tcp,-,FIN,15,12,1256,824,274.23,101789.4,66789.2,0,0,6571.13,8214.75,4534.56,4654.23,255,2365587456,16777216,255,0.0986,0.0493,0.0493,83,68,0,0,10,7,0,0,0,0,1,Shellcode
0.118923,tcp,-,FIN,18,14,1498,952,268.45,100678.5,64012.3,0,0,6606.83,8494.5,4559.56,4679.78,255,2365587456,16777216,255,0.1189,0.0594,0.0595,83,68,0,0,11,7,0,0,0,0,1,Shellcode
0.000018,tcp,-,REQ,1,0,74,0,55555.55,32888888,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,21,11,0,0,0,0,1,Worms
0.000012,tcp,-,REQ,1,0,74,0,83333.33,49333336,0,0,0,0,0,0,0,8192,2365587456,0,0,0,0,0,74,0,0,0,25,14,0,0,0,0,1,Worms
0.185117,tcp,-,FIN,8,6,598,498,75.63,25846.44,21521.26,0,0,26445.28,37062.6,18261,18734.8,255,2365587456,16777216,255,0.0176,0.0088,0.0088,74,83,0,0,3,2,0,0,0,0,1,Worms
0.145678,tcp,-,FIN,10,8,748,624,123.45,41123.5,34267.8,0,0,14567.8,18209.75,10052.45,10312.56,255,2365587456,16777216,255,0.0146,0.0073,0.0073,74,78,0,0,4,3,0,0,0,0,1,Worms
0.165234,tcp,-,FIN,9,7,673,561,97.02,32567.8,27139.8,0,0,18359.33,23599.14,12668.12,12998.56,255,2365587456,16777216,255,0.0165,0.0082,0.0083,74,80,0,0,5,3,0,0,0,0,1,Worms
0.195678,tcp,-,FIN,11,9,823,687,102.45,33678.5,28065.4,0,0,17788.9,21738.6,12274.56,12594.23,255,2365587456,16777216,255,0.0196,0.0098,0.0098,74,76,0,0,4,3,0,0,0,0,1,Worms
0.225345,tcp,-,FIN,12,10,898,748,97.82,31889.6,26574.6,0,0,18784.58,22534.5,12962.12,13298.45,255,2365587456,16777216,255,0.0225,0.0112,0.0113,74,74,0,0,5,4,0,0,0,0,1,Worms
0.255012,tcp,-,FIN,13,11,973,811,94.12,30489.4,25407.8,0,0,19231.53,23192.9,13271.45,13614.67,255,2365587456,16777216,255,0.0255,0.0127,0.0128,74,73,0,0,6,4,0,0,0,0,1,Worms
0.143761,tcp,-,FIN,8,6,556,476,97.38,30932.32,26485.38,0,0,20537.28,28752.2,14170.6,14544.48,255,2348810240,16777216,255,0.0044,0.0022,0.0022,69,79,0,0,5,3,0,0,0,0,1,Fuzzers
0.087213,tcp,-,FIN,8,6,574,500,160.53,52663.15,45872.39,0,0,12458.85,17442.4,8600.59,8822.94,255,2348810240,16777216,255,0.0046,0.0023,0.0023,71,83,0,0,7,4,0,0,0,0,1,Fuzzers
0.208975,tcp,-,FIN,8,6,598,502,66.99,22893.25,19218.79,0,0,29853.85,41795.2,20615.6,21148.18,255,2348810240,16777216,255,0.0209,0.0104,0.0104,74,83,0,0,4,3,0,0,0,0,1,Fuzzers
0.125678,tcp,-,FIN,10,8,694,582,127.56,44123.5,37012.8,0,0,12567.8,15709.75,8675.12,8898.56,255,2348810240,16777216,255,0.0126,0.0063,0.0063,69,72,0,0,6,4,0,0,0,0,1,Fuzzers
0.165432,tcp,-,FIN,9,7,625,523,97.23,30234.5,25312.8,0,0,18381.33,23627.57,12683.45,13012.78,255,2348810240,16777216,255,0.0165,0.0082,0.0083,69,74,0,0,5,4,0,0,0,0,1,Fuzzers
0.195678,tcp,-,FIN,11,9,763,639,112.34,31123.4,26102.3,0,0,17788.9,21738.6,12274.56,12594.23,255,2348810240,16777216,255,0.0196,0.0098,0.0098,69,71,0,0,7,5,0,0,0,0,1,Fuzzers
0.225345,tcp,-,FIN,12,10,832,696,97.82,29567.8,24723.5,0,0,18784.58,22534.5,12962.12,13298.45,255,2348810240,16777216,255,0.0225,0.0112,0.0113,69,69,0,0,8,5,0,0,0,0,1,Fuzzers
0.255678,tcp,-,FIN,13,11,901,753,94.56,28123.4,23567.8,0,0,19648.30,23585.3,13559.67,13910.12,255,2348810240,16777216,255,0.0256,0.0128,0.0128,69,68,0,0,9,6,0,0,0,0,1,Fuzzers
1.000785,tcp,-,FIN,9,9,608,556,17.98,4862.54,4448.55,0,0,125.09,125.09,79.61,58.38,255,2097152000,2147483648,255,0.0091,0.0046,0.0045,67,61,0,0,3,2,0,0,0,0,1,Generic
1.234567,tcp,-,FIN,11,10,748,682,17.04,4851.23,4424.56,0,0,112.23,123.45,71.34,52.67,255,2097152000,2147483648,255,0.0123,0.0061,0.0062,68,68,0,0,4,3,0,0,0,0,1,Generic
1.456789,tcp,-,FIN,12,11,816,744,15.82,4489.78,4094.23,0,0,121.39,132.43,77.23,56.89,255,2097152000,2147483648,255,0.0146,0.0073,0.0073,68,67,0,0,5,3,0,0,0,0,1,Generic
1.678901,tcp,-,FIN,13,12,884,806,14.91,4218.34,3843.78,0,0,129.14,139.90,82.12,60.45,255,2097152000,2147483648,255,0.0168,0.0084,0.0084,68,67,0,0,6,4,0,0,0,0,1,Generic
1.890123,tcp,-,FIN,14,13,952,868,14.29,4032.45,3678.56,0,0,135.00,145.39,85.89,63.23,255,2097152000,2147483648,255,0.0189,0.0094,0.0095,68,66,0,0,7,4,0,0,0,0,1,Generic
2.012345,tcp,-,FIN,15,14,1020,930,14.42,4056.78,3700.12,0,0,134.15,143.73,85.34,62.89,255,2097152000,2147483648,255,0.0201,0.0100,0.0101,68,66,0,0,8,5,0,0,0,0,1,Generic
2.234567,tcp,-,FIN,16,15,1088,992,13.88,3892.34,3554.67,0,0,139.66,149.04,88.85,65.45,255,2097152000,2147483648,255,0.0223,0.0112,0.0111,68,66,0,0,9,5,0,0,0,0,1,Generic
2.456789,tcp,-,FIN,17,16,1156,1054,13.44,3767.89,3434.56,0,0,144.59,153.54,91.98,67.78,255,2097152000,2147483648,255,0.0246,0.0123,0.0123,68,65,0,0,10,6,0,0,0,0,1,Generic
2.000785,tcp,-,FIN,12,10,828,710,10.99,3310.54,2838.6,0,0,181.88,222.30,103.7,98.45,255,2097152000,2147483648,255,0.0182,0.0091,0.0091,69,71,0,0,2,2,0,0,0,0,1,Analysis
1.500234,tcp,-,FIN,10,8,686,592,11.99,3657.31,3157.23,0,0,166.69,214.32,101.12,89.44,255,2097152000,2147483648,255,0.015,0.0075,0.0075,68,74,0,0,3,2,0,0,0,0,1,Analysis
2.345678,tcp,-,FIN,14,12,966,830,10.65,3293.45,2829.78,0,0,167.54,195.47,106.23,100.89,255,2097152000,2147483648,255,0.0235,0.0117,0.0118,69,69,0,0,4,3,0,0,0,0,1,Analysis
2.678901,tcp,-,FIN,15,13,1034,890,10.45,3089.12,2658.34,0,0,178.59,206.06,113.45,107.89,255,2097152000,2147483648,255,0.0268,0.0134,0.0134,68,68,0,0,5,3,0,0,0,0,1,Analysis
2.901234,tcp,-,FIN,16,14,1102,948,10.34,3038.78,2615.56,0,0,181.32,207.23,115.23,109.12,255,2097152000,2147483648,255,0.0290,0.0145,0.0145,68,67,0,0,6,4,0,0,0,0,1,Analysis
3.123456,tcp,-,FIN,17,15,1170,1006,10.25,2998.56,2578.67,0,0,183.74,208.23,116.78,110.23,255,2097152000,2147483648,255,0.0312,0.0156,0.0156,68,67,0,0,7,4,0,0,0,0,1,Analysis
